Data;Cambio
02/01/1990;11.524
03/01/1990;11.751
04/01/1990;11.983
05/01/1990;12.209
08/01/1990;12.44
09/01/1990;12.677
10/01/1990;12.917
11/01/1990;13.162
12/01/1990;13.412
15/01/1990;13.666
16/01/1990;13.926
17/01/1990;14.189
18/01/1990;14.458
19/01/1990;14.732
22/01/1990;15.055
23/01/1990;15.384
24/01/1990;15.721
25/01/1990;16.064
26/01/1990;16.429
29/01/1990;16.803
30/01/1990;17.184
31/01/1990;17.643
01/02/1990;18.085
02/02/1990;18.538
05/02/1990;19.002
06/02/1990;19.566
07/02/1990;20.147
08/02/1990;20.744
09/02/1990;21.36
12/02/1990;21.994
13/02/1990;22.713
14/02/1990;23.456
15/02/1990;24.224
16/02/1990;25.016
19/02/1990;25.859
20/02/1990;26.744
21/02/1990;27.658
22/02/1990;28.603
23/02/1990;29.581
28/02/1990;30.483
01/03/1990;31.251
02/03/1990;32.037
05/03/1990;32.843
06/03/1990;33.669
07/03/1990;34.517
08/03/1990;35.386
09/03/1990;36.299
12/03/1990;37.236
13/03/1990;38.197
19/03/1990;42.294
20/03/1990;38.963
21/03/1990;37.882
22/03/1990;36.136
23/03/1990;35.911
26/03/1990;37.075
27/03/1990;39.639
28/03/1990;40.014
29/03/1990;41.827
30/03/1990;41.933
02/04/1990;42.29
03/04/1990;42.147
04/04/1990;42.245
05/04/1990;42.172
06/04/1990;42.204
09/04/1990;42.251
10/04/1990;43.236
11/04/1990;46.2
16/04/1990;49.061
17/04/1990;50.611
18/04/1990;50.471
19/04/1990;50.766
20/04/1990;50.578
23/04/1990;50.663
24/04/1990;50.732
25/04/1990;50.677
26/04/1990;50.776
27/04/1990;50.804
30/04/1990;50.845
02/05/1990;50.759
03/05/1990;50.775
04/05/1990;50.701
07/05/1990;50.739
08/05/1990;50.801
09/05/1990;50.74
10/05/1990;50.824
11/05/1990;50.81
14/05/1990;50.866
15/05/1990;50.99
16/05/1990;51.041
17/05/1990;51.088
18/05/1990;51.102
21/05/1990;51.236
22/05/1990;51.891
23/05/1990;52.243
24/05/1990;52.71
25/05/1990;54.04
28/05/1990;54.464
29/05/1990;54.936
30/05/1990;54.952
31/05/1990;54.975
01/06/1990;54.875
04/06/1990;54.901
05/06/1990;55.131
06/06/1990;55.507
07/06/1990;55.568
08/06/1990;55.494
11/06/1990;55.467
12/06/1990;55.415
13/06/1990;55.454
15/06/1990;55.751
18/06/1990;56.042
19/06/1990;56.439
20/06/1990;56.577
21/06/1990;56.981
22/06/1990;58.29
25/06/1990;59.569
26/06/1990;59.825
27/06/1990;59.861
28/06/1990;60.012
29/06/1990;60.735
02/07/1990;61.71
03/07/1990;62.255
04/07/1990;63.021
05/07/1990;65.44
06/07/1990;65.752
09/07/1990;65.512
10/07/1990;65.622
11/07/1990;65.413
12/07/1990;65.674
13/07/1990;66.089
16/07/1990;66.373
17/07/1990;66.267
18/07/1990;66.671
19/07/1990;67.05
20/07/1990;67.699
23/07/1990;67.946
24/07/1990;67.905
25/07/1990;68.008
26/07/1990;67.916
27/07/1990;68.148
30/07/1990;68.375
31/07/1990;68.754
01/08/1990;69.755
02/08/1990;70.655
03/08/1990;70.911
06/08/1990;71.131
07/08/1990;71.359
08/08/1990;71.32
09/08/1990;71.423
10/08/1990;71.336
13/08/1990;71.477
14/08/1990;71.575
15/08/1990;71.692
16/08/1990;72.079
17/08/1990;72.383
20/08/1990;72.169
21/08/1990;72
22/08/1990;71.772
23/08/1990;71.065
24/08/1990;72.029
27/08/1990;72.22
28/08/1990;72.213
29/08/1990;72.027
30/08/1990;71.493
31/08/1990;71.38
03/09/1990;70.465
04/09/1990;68.593
05/09/1990;67.276
06/09/1990;67.55
10/09/1990;67.28
11/09/1990;67.258
12/09/1990;69.929
13/09/1990;73.041
14/09/1990;74.861
17/09/1990;74.699
18/09/1990;75.137
19/09/1990;77.559
20/09/1990;79.525
21/09/1990;81.24
24/09/1990;81.8
25/09/1990;82.083
26/09/1990;82.463
27/09/1990;83.751
28/09/1990;83.746
01/10/1990;84.187
02/10/1990;84.364
04/10/1990;84.599
05/10/1990;87.004
09/10/1990;88.844
10/10/1990;90.055
11/10/1990;90.22
12/10/1990;90.775
15/10/1990;91.693
16/10/1990;92.522
17/10/1990;93.482
18/10/1990;95.032
19/10/1990;98.752
22/10/1990;99.022
23/10/1990;98.528
24/10/1990;99.204
25/10/1990;100.28
26/10/1990;102.31
29/10/1990;104.18
30/10/1990;105.16
31/10/1990;105.88
01/11/1990;107.62
05/11/1990;113.1
06/11/1990;114.29
07/11/1990;114
08/11/1990;113.24
09/11/1990;114.29
12/11/1990;115.53
13/11/1990;117.5
14/11/1990;117.76
16/11/1990;117.23
19/11/1990;118.13
20/11/1990;120.84
21/11/1990;124.57
22/11/1990;128.07
23/11/1990;129.12
26/11/1990;130.23
27/11/1990;133.24
28/11/1990;136.42
29/11/1990;140.41
30/11/1990;143.82
03/12/1990;146.66
04/12/1990;147.26
05/12/1990;147.22
06/12/1990;147.95
07/12/1990;148.96
10/12/1990;149.5
11/12/1990;149.47
12/12/1990;149.26
13/12/1990;150.35
14/12/1990;150.61
17/12/1990;151.75
18/12/1990;153.74
19/12/1990;157.7
20/12/1990;157.51
21/12/1990;159.61
24/12/1990;161.06
26/12/1990;163.33
27/12/1990;164.94
28/12/1990;168.59
31/12/1990;168.59
02/01/1991;171.85
03/01/1991;172.88
04/01/1991;173.88
07/01/1991;176.29
08/01/1991;180.43
09/01/1991;181.47
10/01/1991;182.26
11/01/1991;183.47
14/01/1991;187.2
15/01/1991;189.84
16/01/1991;194.46
17/01/1991;195.8
18/01/1991;198.97
21/01/1991;198.63
22/01/1991;196.82
23/01/1991;197.68
24/01/1991;198.57
25/01/1991;200.93
28/01/1991;205.46
29/01/1991;211.59
30/01/1991;215.64
31/01/1991;219.17
04/02/1991;220.53
05/02/1991;219.94
06/02/1991;219.76
07/02/1991;220.43
08/02/1991;220.96
13/02/1991;221.31
14/02/1991;220.1
15/02/1991;220.59
18/02/1991;219.78
19/02/1991;220.14
20/02/1991;220.78
21/02/1991;221.04
22/02/1991;221.41
25/02/1991;221.99
26/02/1991;222.76
27/02/1991;222.95
28/02/1991;222.84
01/03/1991;224.15
04/03/1991;225.57
05/03/1991;225.24
06/03/1991;225.66
07/03/1991;225.82
08/03/1991;226.18
11/03/1991;226.98
12/03/1991;227.51
13/03/1991;228.14
14/03/1991;228.86
15/03/1991;228.51
18/03/1991;229.62
19/03/1991;230.92
20/03/1991;232.89
21/03/1991;232.96
22/03/1991;233.9
25/03/1991;234.85
26/03/1991;236.48
27/03/1991;238.14
01/04/1991;241.07
02/04/1991;244.14
03/04/1991;245.51
04/04/1991;245.47
05/04/1991;245.67
08/04/1991;246.11
09/04/1991;248.2
10/04/1991;249
11/04/1991;250.15
12/04/1991;250.38
15/04/1991;251.06
16/04/1991;252.35
17/04/1991;253.5
18/04/1991;254.56
19/04/1991;255.58
22/04/1991;255.55
23/04/1991;255.96
24/04/1991;257
25/04/1991;258.2
26/04/1991;258.81
29/04/1991;260
30/04/1991;260.08
02/05/1991;261.2
03/05/1991;261.93
06/05/1991;262.36
07/05/1991;263.77
08/05/1991;264.62
09/05/1991;266.86
10/05/1991;268.96
13/05/1991;268.76
14/05/1991;270.36
15/05/1991;272.13
16/05/1991;273.77
17/05/1991;274.63
20/05/1991;274.77
21/05/1991;276.12
22/05/1991;276.83
23/05/1991;278.02
24/05/1991;279.25
27/05/1991;280.91
28/05/1991;282.15
29/05/1991;283.08
31/05/1991;284.34
03/06/1991;285.71
04/06/1991;286.88
05/06/1991;288.2
06/06/1991;288.85
07/06/1991;289.5
10/06/1991;290.8
11/06/1991;291.72
12/06/1991;293.03
13/06/1991;294.35
14/06/1991;295.87
17/06/1991;297.65
18/06/1991;299.64
19/06/1991;300.77
20/06/1991;301.53
21/06/1991;303.02
24/06/1991;304.92
25/06/1991;306.69
26/06/1991;308.7
27/06/1991;310.88
28/06/1991;311.75
01/07/1991;312.65
02/07/1991;313.54
03/07/1991;315.14
04/07/1991;317.16
05/07/1991;318.21
08/07/1991;319.6
09/07/1991;321.67
10/07/1991;322.68
11/07/1991;323.63
12/07/1991;325.18
15/07/1991;326.33
16/07/1991;328.07
17/07/1991;329.41
18/07/1991;330.79
19/07/1991;332.67
22/07/1991;334.05
23/07/1991;335.6
24/07/1991;337.44
25/07/1991;339.4
26/07/1991;340.74
29/07/1991;342.34
30/07/1991;344.78
31/07/1991;346.21
01/08/1991;348.59
02/08/1991;350.72
05/08/1991;352.92
06/08/1991;354.55
07/08/1991;356.59
08/08/1991;358.63
09/08/1991;360.63
12/08/1991;362.9
13/08/1991;365.3
14/08/1991;368.54
15/08/1991;369.74
16/08/1991;371.64
19/08/1991;373.95
20/08/1991;376.29
21/08/1991;378.76
22/08/1991;381.05
23/08/1991;383.51
26/08/1991;383.47
27/08/1991;386.63
28/08/1991;388.39
29/08/1991;390.97
30/08/1991;392.75
02/09/1991;396
03/09/1991;398.94
04/09/1991;402.02
05/09/1991;405.05
06/09/1991;406.88
09/09/1991;410.52
10/09/1991;414.37
11/09/1991;417.44
12/09/1991;421.45
13/09/1991;425.51
16/09/1991;428.5
17/09/1991;431.34
18/09/1991;435.94
19/09/1991;438.82
20/09/1991;441.64
23/09/1991;445.08
24/09/1991;446.99
25/09/1991;450.73
26/09/1991;454.88
27/09/1991;460.01
30/09/1991;465.48
01/10/1991;528.71
02/10/1991;534.28
03/10/1991;540.24
04/10/1991;544.21
07/10/1991;547.25
08/10/1991;551.7
09/10/1991;557.89
10/10/1991;560.91
11/10/1991;565.36
14/10/1991;571.11
15/10/1991;575.73
16/10/1991;581.16
17/10/1991;585.46
18/10/1991;590.12
21/10/1991;597.09
22/10/1991;604.26
23/10/1991;607.84
24/10/1991;612.86
25/10/1991;620.53
28/10/1991;622.12
29/10/1991;629.33
30/10/1991;638.18
31/10/1991;641.54
01/11/1991;651.59
04/11/1991;658.61
05/11/1991;666.42
06/11/1991;675.46
07/11/1991;684.19
08/11/1991;692.83
11/11/1991;700.94
12/11/1991;712.91
13/11/1991;720.93
14/11/1991;728.8
18/11/1991;740.1
19/11/1991;749.89
20/11/1991;761.2
21/11/1991;771.92
22/11/1991;782.54
25/11/1991;791.67
26/11/1991;806
27/11/1991;813.62
28/11/1991;824.93
29/11/1991;840.35
02/12/1991;850.5
03/12/1991;861.15
04/12/1991;871.7
05/12/1991;882.4
06/12/1991;893.1
09/12/1991;903.5
10/12/1991;913.85
11/12/1991;924.6
12/12/1991;935.15
13/12/1991;945.8
16/12/1991;956.4
17/12/1991;967.45
18/12/1991;978.4
19/12/1991;989.4
20/12/1991;1000.4
23/12/1991;1011.55
24/12/1991;1023.8
26/12/1991;1033.85
27/12/1991;1045.05
30/12/1991;1057.1
31/12/1991;1068.7
02/01/1992;1079.3
03/01/1992;1090.05
06/01/1992;1100.8
07/01/1992;1111.5
08/01/1992;1122.1
09/01/1992;1132.9
10/01/1992;1143.75
13/01/1992;1155.5
14/01/1992;1166.9
15/01/1992;1.179
16/01/1992;1202.1
17/01/1992;1201.6
20/01/1992;1.213
21/01/1992;1224.35
22/01/1992;1235.8
23/01/1992;1247.5
24/01/1992;1259.1
27/01/1992;1270.85
28/01/1992;1282.55
29/01/1992;1295.3
30/01/1992;1307.3
31/01/1992;1319.4
03/02/1992;1333.2
04/02/1992;1346.8
05/02/1992;1360.7
06/02/1992;1375.9
07/02/1992;1390.85
10/02/1992;1405.6
11/02/1992;1420.5
12/02/1992;1435.6
13/02/1992;1467.35
14/02/1992;1467.35
17/02/1992;1483.4
18/02/1992;1499.6
19/02/1992;1516.45
20/02/1992;1532.65
21/02/1992;1548.3
24/02/1992;1564.25
25/02/1992;1580.7
26/02/1992;1597.3
27/02/1992;1.614
28/02/1992;1630.75
04/03/1992;1647.45
05/03/1992;1664.25
06/03/1992;1681.05
09/03/1992;1698.25
10/03/1992;1715.45
11/03/1992;1733.1
12/03/1992;1750.7
13/03/1992;1768.3
16/03/1992;1786.25
17/03/1992;1804.15
18/03/1992;1821.9
19/03/1992;1839.9
20/03/1992;1857.92
23/03/1992;1875.9
24/03/1992;1.894
25/03/1992;1912.3
26/03/1992;1930.85
27/03/1992;1949.8
30/03/1992;1.969
31/03/1992;1987.9
01/04/1992;2.007
02/04/1992;2.027
03/04/1992;2027.4
06/04/1992;2067.95
07/04/1992;2089.05
08/04/1992;2109.9
09/04/1992;2.131
10/04/1992;2152.35
13/04/1992;2.174
14/04/1992;2195.9
15/04/1992;2217.85
20/04/1992;2239.5
22/04/1992;2261.4
23/04/1992;2283.4
24/04/1992;2305.6
27/04/1992;2.328
28/04/1992;2350.65
29/04/1992;2373.25
30/04/1992;2.396
04/05/1992;2416.9
05/05/1992;2438.1
06/05/1992;2459.25
07/05/1992;2480.8
08/05/1992;2502.5
11/05/1992;2524.35
12/05/1992;2546.35
13/05/1992;2568.5
14/05/1992;2590.5
15/05/1992;2612.75
18/05/1992;2635.25
19/05/1992;2658.15
20/05/1992;2681.2
21/05/1992;2728.55
22/05/1992;2727.9
25/05/1992;2751.6
26/05/1992;2775.55
27/05/1992;2799.75
28/05/1992;2824.35
29/05/1992;2.849
01/06/1992;2874.4
02/06/1992;2.900
03/06/1992;2925.8
04/06/1992;2952.05
05/06/1992;2978.5
08/06/1992;3004.9
09/06/1992;3031.7
10/06/1992;3058.8
11/06/1992;3087.5
12/06/1992;3115.6
15/06/1992;3.144
16/06/1992;3172.9
17/06/1992;3202.5
19/06/1992;3230.7
22/06/1992;3260.05
23/06/1992;3289.85
24/06/1992;3320.2
25/06/1992;3.351
26/06/1992;3382.5
29/06/1992;3413.5
30/06/1992;3446.6
01/07/1992;3475.8
02/07/1992;3505.7
03/07/1992;3536.1
06/07/1992;3566.85
07/07/1992;3597.75
08/07/1992;3629.05
09/07/1992;3660.65
10/07/1992;3692.55
13/07/1992;3724.75
14/07/1992;3757.15
15/07/1992;3789.85
16/07/1992;3822.8
17/07/1992;3856.1
20/07/1992;3889.7
21/07/1992;3923.55
22/07/1992;3957.65
23/07/1992;3992.1
24/07/1992;4026.8
27/07/1992;4061.8
28/07/1992;4096.9
29/07/1992;4132.5
30/07/1992;4168.9
31/07/1992;4204.5
03/08/1992;4244.4
04/08/1992;4284.75
05/08/1992;4324.95
06/08/1992;4365.7
07/08/1992;4406.9
10/08/1992;4448.55
11/08/1992;4490.7
12/08/1992;4533.3
13/08/1992;4576.55
14/08/1992;4620.35
17/08/1992;4664.35
18/08/1992;4708.8
19/08/1992;4754.2
20/08/1992;4797.5
21/08/1992;4844.45
24/08/1992;4890.55
25/08/1992;4.936
26/08/1992;4982.8
27/08/1992;5029.8
28/08/1992;5077.4
31/08/1992;5.130
01/09/1992;5184.5
02/09/1992;5238.9
03/09/1992;5294.6
04/09/1992;5350.4
08/09/1992;5406.1
09/09/1992;5462.7
10/09/1992;5520.1
11/09/1992;5578.3
14/09/1992;5637.3
15/09/1992;5697.3
16/09/1992;5758.3
17/09/1992;5819.5
18/09/1992;5881.25
21/09/1992;5943.65
22/09/1992;6006.75
23/09/1992;6070.75
24/09/1992;6.137
25/09/1992;6.204
28/09/1992;6.272
29/09/1992;6.333
30/09/1992;6.398
01/10/1992;6.468
02/10/1992;6537.4
05/10/1992;6607.3
06/10/1992;6677.8
07/10/1992;6749.1
08/10/1992;6821.2
09/10/1992;6894.1
13/10/1992;6967.95
14/10/1992;7042.5
15/10/1992;7.118
16/10/1992;7194.3
19/10/1992;7271.7
20/10/1992;7.350
21/10/1992;7429.5
22/10/1992;7510.4
23/10/1992;7593.3
26/10/1992;7679.3
27/10/1992;7766.4
28/10/1992;7854.5
29/10/1992;7943.6
30/10/1992;8.034
03/11/1992;8122.9
04/11/1992;8.213
05/11/1992;8304.1
06/11/1992;8396.2
09/11/1992;8583.5
10/11/1992;8678.7
11/11/1992;8678.7
12/11/1992;8774.95
13/11/1992;8872.2
16/11/1992;8970.6
17/11/1992;9069.6
18/11/1992;9169.6
19/11/1992;9269.3
20/11/1992;9368.9
23/11/1992;9468.3
24/11/1992;9666.9
25/11/1992;9760.9
26/11/1992;9760.7
27/11/1992;9854.9
30/11/1992;9949.8
01/12/1992;10046.1
02/12/1992;10143.6
03/12/1992;10241.8
04/12/1992;10341.1
07/12/1992;10441.5
08/12/1992;10542.9
09/12/1992;10645.6
10/12/1992;10749.1
11/12/1992;10854.2
14/12/1992;10.960
15/12/1992;11066.85
16/12/1992;11174.4
17/12/1992;11283.3
18/12/1992;11393.4
21/12/1992;11505.4
22/12/1992;11620.9
23/12/1992;11737.4
24/12/1992;11855.2
28/12/1992;11977.5
29/12/1992;12.106
30/12/1992;12.242
31/12/1992;12.387
04/01/1993;12531.3
05/01/1993;12677.1
06/01/1993;12824.5
07/01/1993;12973.6
08/01/1993;13124.6
11/01/1993;13278.3
12/01/1993;13434.4
13/01/1993;13592.8
14/01/1993;13915.8
15/01/1993;14080.4
18/01/1993;14080.9
19/01/1993;14249.3
20/01/1993;14419.8
21/01/1993;14592.2
22/01/1993;14768.5
25/01/1993;14948.9
26/01/1993;15133.7
27/01/1993;15321.8
28/01/1993;15512.9
29/01/1993;15.719
01/02/1993;15931.2
02/02/1993;16145.3
03/02/1993;16361.4
04/02/1993;16580.3
05/02/1993;16800.1
08/02/1993;17.022
09/02/1993;17244.1
10/02/1993;17.468
11/02/1993;17924.2
12/02/1993;18156.8
15/02/1993;18156.65
16/02/1993;18391.95
17/02/1993;18630.2
18/02/1993;18871.9
19/02/1993;19.117
24/02/1993;19364.4
25/02/1993;19609.5
26/02/1993;19.857
01/03/1993;20061.9
02/03/1993;20267.3
03/03/1993;20473.8
04/03/1993;20681.3
05/03/1993;20890.45
08/03/1993;21101.4
09/03/1993;21314.3
10/03/1993;21529.5
11/03/1993;21745.1
12/03/1993;21962.9
15/03/1993;22182.8
16/03/1993;22404.9
17/03/1993;22629.9
18/03/1993;22857.15
19/03/1993;23087.9
22/03/1993;23322.9
23/03/1993;23562.2
24/03/1993;23806.2
25/03/1993;24054.65
26/03/1993;24309.6
29/03/1993;24576.3
30/03/1993;24846.5
31/03/1993;25.120
01/04/1993;25.444
02/04/1993;25772.8
05/04/1993;26108.3
06/04/1993;26450.4
07/04/1993;26799.8
12/04/1993;27156.8
13/04/1993;27520.3
14/04/1993;27892.2
15/04/1993;28269.9
16/04/1993;28.653
19/04/1993;29.041
20/04/1993;29434.3
22/04/1993;29833.5
23/04/1993;30231.5
26/04/1993;30623.5
27/04/1993;31.035
28/04/1993;31449.5
29/04/1993;31.861
30/04/1993;32.267
03/05/1993;32664.5
04/05/1993;33.067
05/05/1993;33.474
06/05/1993;33885.5
07/05/1993;34301.5
10/05/1993;34721.5
11/05/1993;35145.5
12/05/1993;35.575
13/05/1993;36007.5
14/05/1993;36445.2
17/05/1993;36888.2
18/05/1993;37336.8
19/05/1993;37790.7
20/05/1993;38250.1
21/05/1993;38715.2
24/05/1993;39187.4
25/05/1993;39666.7
26/05/1993;40155.5
27/05/1993;41.164
28/05/1993;41.699
31/05/1993;41.699
01/06/1993;42239.45
02/06/1993;42786.2
03/06/1993;43339.8
04/06/1993;43900.5
07/06/1993;44466.8
08/06/1993;45042.4
09/06/1993;45.628
11/06/1993;46.227
14/06/1993;46.813
15/06/1993;47.411
16/06/1993;48.018
17/06/1993;48.626
18/06/1993;49.232
21/06/1993;49.847
22/06/1993;50462.3
23/06/1993;51.095
24/06/1993;51.719
25/06/1993;52.355
28/06/1993;53.006
29/06/1993;53.665
30/06/1993;54.335
01/07/1993;55.676
02/07/1993;56.363
05/07/1993;56.360
06/07/1993;57.051
07/07/1993;57.753
08/07/1993;58462.5
09/07/1993;59.177
12/07/1993;59900.5
13/07/1993;60.638
14/07/1993;61.382
15/07/1993;62.135
16/07/1993;62.898
19/07/1993;63.668
20/07/1993;64.449
21/07/1993;65.239
22/07/1993;66.039
23/07/1993;66.849
26/07/1993;67.671
27/07/1993;68.507
28/07/1993;69.368
29/07/1993;70.251
30/07/1993;71.152
02/08/1993;72.068
03/08/1993;72.993
04/08/1993;73.928
05/08/1993;74.879
06/08/1993;75.844
09/08/1993;76.82
10/08/1993;77.808
11/08/1993;78.807
12/08/1993;79.821
13/08/1993;80.849
16/08/1993;81.891
17/08/1993;82.944
18/08/1993;84.011
19/08/1993;85.091
20/08/1993;86.19
23/08/1993;87.303
24/08/1993;88.44
25/08/1993;89.625
26/08/1993;90.834
27/08/1993;92.085
30/08/1993;93.355
31/08/1993;94.65
01/09/1993;95.978
02/09/1993;98.75
03/09/1993;100.12
06/09/1993;100.11
08/09/1993;101.501
09/09/1993;102.924
10/09/1993;104.385
13/09/1993;105.865
14/09/1993;107.39
15/09/1993;108.942
16/09/1993;110.503
17/09/1993;112.142
20/09/1993;113.735
21/09/1993;115.34
22/09/1993;117.062
23/09/1993;118.78
24/09/1993;120.565
27/09/1993;122.355
28/09/1993;124.275
29/09/1993;126.115
30/09/1993;128.065
01/10/1993;130.03
04/10/1993;132.05
05/10/1993;134.088
06/10/1993;136.154
07/10/1993;140.385
08/10/1993;142.57
11/10/1993;142.55
13/10/1993;144.758
14/10/1993;146.996
15/10/1993;149.255
18/10/1993;151.59
19/10/1993;153.9
20/10/1993;156.29
21/10/1993;158.69
22/10/1993;161.15
25/10/1993;163.64
26/10/1993;166.168
27/10/1993;168.739
28/10/1993;171.39
29/10/1993;173.995
01/11/1993;176.685
03/11/1993;179.405
04/11/1993;182.215
05/11/1993;184.995
08/11/1993;187.858
09/11/1993;193.695
10/11/1993;196.692
11/11/1993;196.692
12/11/1993;199.755
16/11/1993;202.805
17/11/1993;205.935
18/11/1993;209.105
19/11/1993;212.325
22/11/1993;215.65
23/11/1993;222.315
24/11/1993;225.83
25/11/1993;225.755
26/11/1993;229.29
29/11/1993;232.91
30/11/1993;235.97
01/12/1993;239.155
02/12/1993;242.36
03/12/1993;245.61
06/12/1993;248.91
07/12/1993;252.25
08/12/1993;255.675
09/12/1993;259.09
10/12/1993;262.6
13/12/1993;266.3
14/12/1993;270.055
15/12/1993;273.875
16/12/1993;277.725
17/12/1993;281.655
20/12/1993;285.635
21/12/1993;289.685
22/12/1993;293.86
23/12/1993;297.97
24/12/1993;302.21
27/12/1993;306.68
28/12/1993;311.24
29/12/1993;316
30/12/1993;320.9
31/12/1993;326.095
03/01/1994;331.21
04/01/1994;336.47
05/01/1994;341.81
06/01/1994;347.225
07/01/1994;352.725
10/01/1994;358.3
11/01/1994;363.97
12/01/1994;369.73
13/01/1994;381.525
14/01/1994;387.56
17/01/1994;387.545
18/01/1994;393.905
19/01/1994;400.38
20/01/1994;406.975
21/01/1994;413.685
24/01/1994;420.51
25/01/1994;427.72
26/01/1994;435.04
27/01/1994;442.49
28/01/1994;450.085
31/01/1994;458.65
01/02/1994;467.363
02/02/1994;476.244
03/02/1994;485.296
04/02/1994;494.445
07/02/1994;503.755
08/02/1994;513.244
09/02/1994;522.931
10/02/1994;532.659
11/02/1994;542.567
16/02/1994;552.662
17/02/1994;573.424
18/02/1994;584.112
21/02/1994;584.102
22/02/1994;594.632
23/02/1994;605.398
24/02/1994;616.407
25/02/1994;627.678
28/02/1994;637.25
01/03/1994;647.289
02/03/1994;657.312
03/03/1994;667.494
04/03/1994;677.85
07/03/1994;688.341
08/03/1994;699.04
09/03/1994;709.875
10/03/1994;720.882
11/03/1994;732.101
14/03/1994;743.666
15/03/1994;755.427
16/03/1994;767.392
17/03/1994;779.536
18/03/1994;792.063
21/03/1994;805.442
22/03/1994;819.695
23/03/1994;834.225
24/03/1994;849.02
25/03/1994;864.061
28/03/1994;879.434
29/03/1994;894.922
30/03/1994;913.335
04/04/1994;930.892
05/04/1994;948.8
06/04/1994;967.038
07/04/1994;985.625
08/04/1994;1004.55
11/04/1994;1023.85
12/04/1994;1043.51
13/04/1994;1063.57
14/04/1994;1084.02
15/04/1994;1104.86
18/04/1994;1126.07
19/04/1994;1147.71
20/04/1994;1169.69
22/04/1994;1191.82
25/04/1994;1213.81
26/04/1994;1235.73
27/04/1994;1258.02
28/04/1994;1279.56
29/04/1994;1302.26
02/05/1994;1323.51
03/05/1994;1345.12
04/05/1994;1367.14
05/05/1994;1389.52
06/05/1994;1412.33
09/05/1994;1435.52
10/05/1994;1459.35
11/05/1994;1483.88
12/05/1994;1508.82
13/05/1994;1534.28
16/05/1994;1560.16
17/05/1994;1586.48
18/05/1994;1613.26
19/05/1994;1640.47
20/05/1994;1668.15
23/05/1994;1696.3
24/05/1994;1724.91
25/05/1994;1754.01
26/05/1994;1813.67
27/05/1994;1844.03
30/05/1994;1843.85
31/05/1994;1875.25
01/06/1994;1908.1
03/06/1994;1941.51
06/06/1994;1975.49
07/06/1994;2010.07
08/06/1994;2045.69
09/06/1994;2081.97
10/06/1994;2119.18
13/06/1994;2157.17
14/06/1994;2195.97
15/06/1994;2235.49
16/06/1994;2276.41
17/06/1994;2318.11
20/06/1994;2361.07
21/06/1994;2405.63
22/06/1994;2451.77
23/06/1994;2498.77
24/06/1994;2546.88
27/06/1994;2596.28
28/06/1994;2646.98
29/06/1994;2.698
30/06/1994;2612.5
01/07/1994;0.9
04/07/1994;0.935
05/07/1994;0.927
06/07/1994;0.91
07/07/1994;0.905
08/07/1994;0.915
11/07/1994;0.92
12/07/1994;0.915
13/07/1994;0.915
14/07/1994;0.92
15/07/1994;0.93
18/07/1994;0.93
19/07/1994;0.93
20/07/1994;0.928
21/07/1994;0.93
22/07/1994;0.934
25/07/1994;0.934
26/07/1994;0.932
27/07/1994;0.934
28/07/1994;0.938
29/07/1994;0.938
01/08/1994;0.93
02/08/1994;0.918
03/08/1994;0.908
04/08/1994;0.908
05/08/1994;0.91
08/08/1994;0.904
09/08/1994;0.889
10/08/1994;0.89
11/08/1994;0.892
12/08/1994;0.904
15/08/1994;0.899
16/08/1994;0.894
17/08/1994;0.899
18/08/1994;0.895
19/08/1994;0.892
22/08/1994;0.885
23/08/1994;0.885
24/08/1994;0.882
25/08/1994;0.886
26/08/1994;0.886
29/08/1994;0.894
30/08/1994;0.885
31/08/1994;0.887
01/09/1994;0.883
02/09/1994;0.884
05/09/1994;0.89
06/09/1994;0.884
08/09/1994;0.879
09/09/1994;0.87
12/09/1994;0.851
13/09/1994;0.858
14/09/1994;0.853
15/09/1994;0.855
16/09/1994;0.855
19/09/1994;0.852
20/09/1994;0.852
21/09/1994;0.855
22/09/1994;0.853
23/09/1994;0.855
26/09/1994;0.86
27/09/1994;0.866
28/09/1994;0.862
29/09/1994;0.859
30/09/1994;0.851
04/10/1994;0.847
05/10/1994;0.845
06/10/1994;0.844
07/10/1994;0.842
10/10/1994;0.837
11/10/1994;0.833
13/10/1994;0.834
14/10/1994;0.827
17/10/1994;0.827
18/10/1994;0.845
19/10/1994;0.851
20/10/1994;0.854
21/10/1994;0.851
24/10/1994;0.851
25/10/1994;0.852
26/10/1994;0.854
27/10/1994;0.85
28/10/1994;0.848
31/10/1994;0.844
01/11/1994;0.843
03/11/1994;0.844
04/11/1994;0.843
07/11/1994;0.838
08/11/1994;0.832
09/11/1994;0.829
10/11/1994;0.832
11/11/1994;0.836
14/11/1994;0.836
16/11/1994;0.831
17/11/1994;0.831
18/11/1994;0.834
21/11/1994;0.833
22/11/1994;0.834
23/11/1994;0.841
24/11/1994;0.852
25/11/1994;0.857
28/11/1994;0.855
29/11/1994;0.851
30/11/1994;0.843
01/12/1994;0.846
02/12/1994;0.855
05/12/1994;0.856
06/12/1994;0.844
07/12/1994;0.845
08/12/1994;0.845
09/12/1994;0.846
12/12/1994;0.842
13/12/1994;0.841
14/12/1994;0.845
15/12/1994;0.849
16/12/1994;0.847
19/12/1994;0.846
20/12/1994;0.848
21/12/1994;0.851
22/12/1994;0.858
